9.969584345817565918e-01,9.970591068267822266e-01,9.972361326217651367e-01,9.974120855331420898e-01,9.975357055664062500e-01
8.875870704650878906e-01,8.889821171760559082e-01,8.907623291015625000e-01,8.923347592353820801e-01,8.938681483268737793e-01
7.524914741516113281e-01,7.530015707015991211e-01,7.527538537979125977e-01,7.513757944107055664e-01,7.530614137649536133e-01
9.235697388648986816e-01,9.232437014579772949e-01,9.232223629951477051e-01,9.245366454124450684e-01,9.239140748977661133e-01
9.947490692138671875e-01,9.950580596923828125e-01,9.952678680419921875e-01,9.952691197395324707e-01,9.952462315559387207e-01
8.741008639335632324e-01,8.768765330314636230e-01,8.769912123680114746e-01,8.762512803077697754e-01,8.756487965583801270e-01
7.464690804481506348e-01,7.439405918121337891e-01,7.396961450576782227e-01,7.404223680496215820e-01,7.389551401138305664e-01
9.264380335807800293e-01,9.263057708740234375e-01,9.269186854362487793e-01,9.272887110710144043e-01,9.272219538688659668e-01
9.983654022216796875e-01,9.996804594993591309e-01,9.995086789131164551e-01,9.995949864387512207e-01,9.999017119407653809e-01
9.785872101783752441e-01,9.812734127044677734e-01,9.797691702842712402e-01,9.788174629211425781e-01,9.763615131378173828e-01
9.328540563583374023e-01,9.339150190353393555e-01,9.378306269645690918e-01,9.415627121925354004e-01,9.439019560813903809e-01
9.027996063232421875e-01,9.070245623588562012e-01,9.124436974525451660e-01,9.132022261619567871e-01,9.146308302879333496e-01
