# Energy
#
# simulation setup: 
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :     100
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  0.329970002       6569559.50       6564114.00       13133674.0    
  0.332969993       6559646.50       6558064.50       13117711.0    
  0.335970014       6553294.50       6546240.00       13099534.0    
  0.338970006       6540851.00       6544134.00       13084985.0    
  0.341969997       6527499.00       6535217.00       13062716.0    
  0.344969988       6526127.00       6507551.50       13033678.0    
  0.347970009       6511146.00       6495990.00       13007136.0    
  0.350970000       6474898.00       6495339.00       12970237.0    
  0.353969991       6463822.50       6456518.50       12920341.0    
  0.356970012       6451633.00       6419379.00       12871012.0    
  0.359970003       6383521.50       6406874.50       12790396.0    
  0.362969995       6358237.00       6331649.00       12689886.0    
  0.365969986       6309094.50       6254689.00       12563784.0    
  0.368970007       6149269.50       6208869.50       12358139.0    
  0.371969998       6104188.50       5965410.50       12069599.0    
  0.374969989       5759569.50       5784050.50       11543620.0    
  0.377970010       5474122.50       5477310.50       10951433.0    
  0.380970001       5168026.00       4847740.00       10015766.0    
  0.383969992       3601213.00       3703778.00       7304991.00    
