# Energy
#
# simulation setup: 
#   using     elastic wavefield  -  P-SV waves
#
#   NTSTEP_BETWEEN_OUTPUT_ENERGY :     100
#
# format:
#time  #E_kin(kinetic energy)  #E_pot(potential energy)  #E_tot(total energy)
  0.329970002       6475022.00       6455126.50       12930148.0    
  0.332969993       6454027.00       6453639.50       12907666.0    
  0.335970014       6434006.00       6446047.50       12880054.0    
  0.338970006       6431492.00       6421704.00       12853196.0    
  0.341969997       6410864.00       6410521.00       12821385.0    
  0.344969988       6387502.00       6394497.00       12781999.0    
  0.347970009       6383071.50       6361548.00       12744620.0    
  0.350970000       6345866.50       6349983.50       12695850.0    
  0.353969991       6306664.50       6328764.00       12635428.0    
  0.356970012       6306318.50       6272781.00       12579100.0    
  0.359970003       6242938.00       6246349.00       12489287.0    
  0.362969995       6185630.50       6194109.00       12379740.0    
  0.365969986       6159626.50       6098603.00       12258230.0    
  0.368970007       6006040.50       6049268.50       12055309.0    
  0.371969998       5929910.00       5836139.50       11766050.0    
  0.374969989       5644981.50       5641507.00       11286488.0    
  0.377970010       5356631.50       5370429.50       10727061.0    
  0.380970001       5079831.00       4773466.00       9853297.00    
  0.383969992       3590235.25       3654951.00       7245186.00    
